#Section	Reynolds	Mach 	 AoA 	 Sref 	 Lref 	 Xref 	 Yref 	 Zref 	 CL 	 CDnf 	 CDp 	 CDf 	 CDff 	 CDvp 	 CDw 	 Cmy	L/D
SECTION_5	5517000	0.7	-6	1	1	0.25	0	0	-0.60	500.0	459.8	40.1	497.4	251.7	205.5	-0.074	-12.08
SECTION_5	5517000	0.7	-5	1	1	0.25	0	0	-0.49	264.7	213.4	51.2	262.9	74.8	136.9	-0.106	-18.48
SECTION_5	5517000	0.7	-4	1	1	0.25	0	0	-0.29	141.2	83.8	57.4	140.4	40.8	42.2	-0.107	-20.55
SECTION_5	5517000	0.7	-3	1	1	0.25	0	0	-0.10	98.5	38.2	60.3	98.3	30.6	7.4	-0.101	-10.23
SECTION_5	5517000	0.7	-2	1	1	0.25	0	0	0.08	88.1	25.6	62.5	88.0	25.5	0.0	-0.101	8.96
SECTION_5	5517000	0.7	-1	1	1	0.25	0	0	0.25	88.4	25.3	63.2	87.9	24.7	0.0	-0.102	28.95
SECTION_5	5517000	0.7	0	1	1	0.25	0	0	0.43	90.9	27.8	63.1	89.6	26.5	0.0	-0.103	47.99
SECTION_5	5517000	0.7	1	1	1	0.25	0	0	0.61	103.4	41.7	61.7	100.9	32.6	6.6	-0.099	60.30
SECTION_5	5517000	0.7	2	1	1	0.25	0	0	0.79	170.0	111.6	58.4	165.7	49.2	58.2	-0.093	47.53
SECTION_5	5517000	0.7	3	1	1	0.25	0	0	0.96	309.5	255.6	53.9	300.5	80.6	166.0	-0.095	32.09
SECTION_5	5517000	0.7	4	1	1	0.25	0	0	1.07	494.7	447.1	47.5	486.7	168.5	270.7	-0.097	21.95
SECTION_5	5517000	0.7	5	1	1	0.25	0	0	0.91	525.9	485.3	40.6	687.8	305.1	342.2	-0.059	13.20
SECTION_5	5517000	0.7	6	1	1	0.25	0	0	1.20	1002.5	960.9	41.5	841.8	455.2	345.0	-0.127	14.31
